Test Time / s,Unix Time / s,Voltage / V,Current / A,Cycle Count / 1,Capacity / %,Power / W,Ambient Temperature / degC
6150.0,1760006150,3.9205,0.7482,71,95.9118,2.9335,29.6695
6180.0,1760006180,3.9122,0.6741,72,95.8812,2.6371,29.4847
6210.0,1760006210,3.9057,0.5413,72,95.8019,2.114,29.6926
6240.0,1760006240,3.9194,0.5306,72,95.8628,2.0795,29.2659
6270.0,1760006270,3.9577,0.5147,73,95.644,2.0369,29.4039
6300.0,1760006300,3.9003,0.5292,73,95.8784,2.0639,29.4219
6330.0,1760006330,3.9061,0.3891,73,95.8003,1.52,29.7126
6360.0,1760006360,3.9121,0.4569,74,95.8768,1.7874,29.4321
6390.0,1760006390,3.9226,0.5256,74,95.8263,2.0619,29.0051
6420.0,1760006420,3.9304,0.4298,74,95.8093,1.6891,28.9841
6450.0,1760006450,3.9351,0.4099,75,95.7359,1.6131,28.9382
6480.0,1760006480,3.9231,0.307,75,95.8671,1.2043,29.1249
6510.0,1760006510,3.9138,0.3203,76,95.8538,1.2536,29.5033
6540.0,1760006540,3.9244,0.275,76,95.6705,1.0794,29.1529
6570.0,1760006570,3.9138,0.1877,76,95.7739,0.7347,28.9429
6600.0,1760006600,3.927,0.1682,77,95.878,0.6606,28.7019
6630.0,1760006630,3.9057,0.0679,77,95.7622,0.2651,28.9136
6660.0,1760006660,3.9243,0.183,77,95.6641,0.7183,28.7014
6690.0,1760006690,3.9272,0.1057,78,95.5818,0.415,28.9619
6720.0,1760006720,3.9145,-0.0008,78,95.8344,-0.0033,28.569
6750.0,1760006750,3.9232,-0.0224,78,95.6111,-0.0879,28.3482
6780.0,1760006780,3.9036,-0.063,79,95.5508,-0.2459,28.8067
6810.0,1760006810,3.9248,-0.1494,79,95.7873,-0.5862,28.409
6840.0,1760006840,3.9053,-0.0924,79,95.7436,-0.361,28.4596
6870.0,1760006870,3.9129,-0.1633,80,95.6953,-0.6389,28.5949
6900.0,1760006900,3.9121,-0.2345,80,95.7164,-0.9176,28.999
6930.0,1760006930,3.9051,-0.2892,80,95.672,-1.1293,28.2981
6960.0,1760006960,3.9042,-0.2456,81,95.7143,-0.9587,28.7114
6990.0,1760006990,3.9262,-0.293,81,95.6752,-1.1502,28.6555
7020.0,1760007020,3.9106,-0.3062,81,95.6808,-1.1973,28.5109
7050.0,1760007050,3.9107,-0.3653,82,95.6617,-1.4284,28.8015
7080.0,1760007080,3.8994,-0.3505,82,95.6986,-1.3668,28.5573
7110.0,1760007110,3.9109,-0.47,83,95.5956,-1.8383,28.5599
7140.0,1760007140,3.9249,-0.4453,83,95.6593,-1.7476,28.6531
7170.0,1760007170,3.9078,-0.5354,83,95.5014,-2.0924,28.6828
7200.0,1760007200,3.9092,-0.5902,84,95.6017,-2.307,28.5144
7230.0,1760007230,3.9162,-0.5733,84,95.7279,-2.2453,28.6379
7260.0,1760007260,3.9085,-0.6275,84,95.6176,-2.4528,28.9487
7290.0,1760007290,3.9201,-0.668,85,95.5775,-2.6186,28.6128
7320.0,1760007320,3.8947,-0.7511,85,95.5881,-2.9252,28.6998
7350.0,1760007350,3.9186,-0.6597,85,95.6684,-2.585,28.8391
7380.0,1760007380,3.9104,-0.7092,86,95.5443,-2.7733,28.6003
7410.0,1760007410,3.8951,-0.785,86,95.7388,-3.0578,28.702
7440.0,1760007440,3.9154,-0.7928,86,95.6021,-3.1041,28.9843
7470.0,1760007470,3.8994,-0.7319,87,95.6233,-2.854,27.9817
7500.0,1760007500,3.8879,-0.7479,87,95.7594,-2.9078,28.4679
7530.0,1760007530,3.918,-0.734,87,95.7429,-2.8758,28.5138
7560.0,1760007560,3.8868,-0.8139,88,95.5336,-3.1635,28.8394
7590.0,1760007590,3.9023,-0.8261,88,95.5151,-3.2236,28.5779
7620.0,1760007620,3.8878,-0.9036,88,95.5359,-3.5131,28.9221
7650.0,1760007650,3.9012,-0.8878,89,95.5688,-3.4635,28.5766
7680.0,1760007680,3.883,-0.8985,89,95.6418,-3.4887,28.3052
7710.0,1760007710,3.8882,-0.8001,90,95.4782,-3.111,28.439
7740.0,1760007740,3.8717,-0.8694,90,95.5342,-3.366,28.6275
7770.0,1760007770,3.8945,-0.8629,90,95.4224,-3.3604,28.6836
7800.0,1760007800,3.8761,-0.988,91,95.63,-3.8296,28.1853
7830.0,1760007830,3.8962,-0.9036,91,95.6056,-3.5208,28.4496
7860.0,1760007860,3.8903,-0.9416,91,95.3128,-3.6631,28.5324
7890.0,1760007890,3.882,-0.8008,92,95.5041,-3.1088,28.5267
7920.0,1760007920,3.8623,-0.9937,92,95.4583,-3.8379,28.4678
7950.0,1760007950,3.8906,-0.9559,92,95.4802,-3.7192,28.4476
7980.0,1760007980,3.8775,-0.8802,93,95.4764,-3.413,28.2547
8010.0,1760008010,3.8674,-0.8346,93,95.4429,-3.2276,28.3871
8040.0,1760008040,3.8704,-0.8885,93,95.4713,-3.4387,28.4183
8070.0,1760008070,3.8712,-0.8274,94,95.4041,-3.203,28.2011
8100.0,1760008100,3.8585,-0.9089,94,95.5137,-3.5071,28.2179
8130.0,1760008130,3.8851,-0.7781,94,95.479,-3.023,28.3621
8160.0,1760008160,3.8675,-0.8276,95,95.1918,-3.2008,27.7372
8190.0,1760008190,3.8589,-0.8075,95,95.4497,-3.116,27.8918
8220.0,1760008220,3.8701,-0.8154,95,95.3624,-3.1558,28.0068
8250.0,1760008250,3.8639,-0.7326,96,95.2451,-2.8308,28.1202
8280.0,1760008280,3.852,-0.7502,96,95.2946,-2.8897,27.9349
8310.0,1760008310,3.8776,-0.6867,97,95.3399,-2.6628,27.9412
8340.0,1760008340,3.8713,-0.6553,97,95.3852,-2.5369,27.6935
8370.0,1760008370,3.8755,-0.6616,97,95.3772,-2.5638,28.0407
8400.0,1760008400,3.8541,-0.6816,98,95.2302,-2.6269,27.8057
8430.0,1760008430,3.8729,-0.6468,98,95.2301,-2.505,27.7595
8460.0,1760008460,3.8448,-0.696,98,95.3201,-2.6759,28.2656
8490.0,1760008490,3.8613,-0.5963,99,95.2187,-2.3024,28.0028
8520.0,1760008520,3.8694,-0.5536,99,95.1622,-2.1419,27.8053
8550.0,1760008550,3.8604,-0.45,99,95.0069,-1.7371,27.2069
8580.0,1760008580,3.858,-0.5182,100,95.2029,-1.9993,27.3505
8610.0,1760008610,3.8462,-0.4208,100,95.1645,-1.6187,27.4109
8640.0,1760008640,3.8524,-0.3828,100,95.0866,-1.4746,27.3899
8670.0,1760008670,3.8538,-0.3942,101,95.0972,-1.5191,27.5986
8700.0,1760008700,3.8619,-0.3657,101,94.952,-1.4121,27.3591
8730.0,1760008730,3.8547,-0.3225,101,95.0994,-1.2432,27.3807
8760.0,1760008760,3.87,-0.3,102,95.1512,-1.1612,26.9419
8790.0,1760008790,3.84,-0.2526,102,95.1077,-0.9698,27.0582
8820.0,1760008820,3.8231,-0.2694,102,94.9271,-1.0301,27.2986
8850.0,1760008850,3.8549,-0.1631,103,94.9211,-0.6287,27.2004
8880.0,1760008880,3.8505,-0.1594,103,94.9149,-0.6138,27.5192
8910.0,1760008910,3.8456,-0.0715,104,94.903,-0.2751,26.718
8940.0,1760008940,3.824,0.0163,104,94.9575,0.0624,27.0553
8970.0,1760008970,3.8379,-0.0093,104,94.9694,-0.0355,27.1969
9000.0,1760009000,3.8327,0.0318,105,94.8139,0.122,26.4591
9030.0,1760009030,3.8639,0.0712,105,94.8174,0.275,27.1231
9060.0,1760009060,3.8522,0.0994,105,94.7373,0.3831,26.8293
9090.0,1760009090,3.8423,0.1719,106,95.0086,0.6603,27.0051
9120.0,1760009120,3.824,0.114,106,94.7034,0.4358,26.83
9150.0,1760009150,3.8423,0.1187,106,94.8863,0.456,27.1671
9180.0,1760009180,3.8447,0.1422,107,94.7795,0.5466,26.9392
9210.0,1760009210,3.8435,0.3085,107,94.7678,1.1858,27.1014
9240.0,1760009240,3.8442,0.3146,107,94.7577,1.2093,26.9672
9270.0,1760009270,3.8304,0.4047,108,94.6361,1.5501,26.8541
9300.0,1760009300,3.8354,0.4033,108,94.7544,1.5466,27.3126
9330.0,1760009330,3.8399,0.3891,108,94.5343,1.494,27.1548
9360.0,1760009360,3.8459,0.4232,109,94.6121,1.6277,26.7892
9390.0,1760009390,3.8435,0.426,109,94.7177,1.6374,26.9508
9420.0,1760009420,3.8436,0.5093,109,94.6197,1.9574,27.0629
9450.0,1760009450,3.84,0.5729,110,94.4826,2.1999,26.8458
9480.0,1760009480,3.8456,0.6124,110,94.507,2.3552,27.1582
9510.0,1760009510,3.836,0.6336,111,94.4953,2.4306,27.0787
9540.0,1760009540,3.8421,0.6351,111,94.6708,2.4401,26.737
9570.0,1760009570,3.8268,0.4914,111,94.5109,1.8803,26.7879
9600.0,1760009600,3.8299,0.7033,112,94.498,2.6934,26.9408
9630.0,1760009630,3.8166,0.5956,112,94.5322,2.2733,26.8631
9660.0,1760009660,3.8158,0.7685,112,94.5548,2.9323,27.2526
9690.0,1760009690,3.8358,0.772,113,94.4427,2.9611,27.3019
9720.0,1760009720,3.8473,0.7293,113,94.4502,2.8058,26.6141
9750.0,1760009750,3.8179,0.7576,113,94.3362,2.8923,27.1643
9780.0,1760009780,3.8297,0.9384,114,94.4082,3.5938,27.3539
9810.0,1760009810,3.8532,0.8282,114,94.2397,3.1913,26.853
9840.0,1760009840,3.8307,0.89,114,94.4097,3.4095,27.223
9870.0,1760009870,3.8239,0.8135,115,94.4223,3.1108,26.9951
9900.0,1760009900,3.8283,0.9004,115,94.2699,3.4469,26.7643
9930.0,1760009930,3.8043,0.8311,115,94.2916,3.1618,27.2489
9960.0,1760009960,3.8412,0.9224,116,94.2722,3.5431,26.7448
9990.0,1760009990,3.8219,0.9169,116,94.1877,3.5041,26.9727
10020.0,1760010020,3.8337,0.9379,116,94.3773,3.5957,27.0231
10050.0,1760010050,3.8419,0.93,117,94.2263,3.5731,26.6297
10080.0,1760010080,3.8319,0.8669,117,94.1662,3.3218,27.0696
10110.0,1760010110,3.8367,0.8272,118,94.2303,3.1736,26.4706
10140.0,1760010140,3.8287,0.9076,118,94.3125,3.475,26.5821
10170.0,1760010170,3.8364,0.8479,118,94.1995,3.2529,27.0039
10200.0,1760010200,3.842,0.9274,119,94.2698,3.5632,27.0635
10230.0,1760010230,3.8241,0.8278,119,94.225,3.1656,26.8595
10260.0,1760010260,3.8435,0.8813,119,94.2166,3.3874,27.0551
10290.0,1760010290,3.8412,0.8183,120,94.226,3.1434,26.6721
10320.0,1760010320,3.8487,0.844,120,94.3089,3.2483,26.5607
10350.0,1760010350,3.8389,0.8963,120,94.3036,3.441,26.4473
10380.0,1760010380,3.8498,0.8245,121,94.2673,3.1743,26.629
10410.0,1760010410,3.8274,0.8484,121,94.2022,3.2473,26.7436
10440.0,1760010440,3.84,0.7696,121,94.1481,2.9551,26.6101
10470.0,1760010470,3.8482,0.7027,122,94.1102,2.7042,26.8684
10500.0,1760010500,3.8327,0.8062,122,94.3258,3.0899,26.5792
10530.0,1760010530,3.8273,0.7282,122,94.2482,2.7871,26.801
10560.0,1760010560,3.8341,0.6987,123,94.1486,2.6787,26.3005
10590.0,1760010590,3.8397,0.5757,123,94.195,2.2107,26.3298
10620.0,1760010620,3.8481,0.7342,124,94.1783,2.8253,26.8084
10650.0,1760010650,3.8409,0.6708,124,94.2718,2.5764,26.7976
10680.0,1760010680,3.8469,0.5868,124,94.2599,2.2575,26.5322
10710.0,1760010710,3.8516,0.6444,125,93.957,2.4818,26.5568
10740.0,1760010740,3.8498,0.5584,125,94.2169,2.1497,26.4674
10770.0,1760010770,3.8456,0.6242,125,94.1011,2.4004,26.3168
10800.0,1760010800,3.8617,0.5602,126,94.1218,2.1634,26.2139
10830.0,1760010830,3.8582,0.5211,126,94.0279,2.0106,26.6231
10860.0,1760010860,3.8457,0.518,126,94.0657,1.9921,26.2526
10890.0,1760010890,3.8583,0.4201,127,94.0716,1.6208,26.3016
10920.0,1760010920,3.8637,0.385,127,94.1475,1.4875,26.3182
10950.0,1760010950,3.8545,0.2379,127,94.0315,0.9168,25.7427
10980.0,1760010980,3.8596,0.2739,128,93.9537,1.057,26.0977
11010.0,1760011010,3.8606,0.2988,128,94.0731,1.1534,26.9072
11040.0,1760011040,3.8612,0.2615,128,94.0413,1.0095,26.2334
11070.0,1760011070,3.8737,0.2451,129,94.0307,0.9495,26.3179
11100.0,1760011100,3.8555,0.1666,129,94.0916,0.6424,25.943
11130.0,1760011130,3.8715,0.0889,129,93.9284,0.3442,25.8814
